ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
13,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド,プリンセスメーカー,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,育成対象キャラクターのパラメータに対するフィードバックが得られる,0.98,0,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド（成功時パラメータ上昇あり）,0.97,0,育成対象キャラクターの状態についてフィードバックを得るコマンド,0.97
14,育成対象キャラクターのパラメータを確認するコマンド,プリンセスメーカー,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,育成対象キャラクターのパラメータ確認を行うコマンド＋システムメニュー,0.97,3,育成対象キャラクターの状態についてフィードバックを得るコマンド,0.96,10,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド,0.96
15,育成対象キャラクターのパラメータによって効果が変動するコマンド,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成対象キャラクターによって育成コマンドで上昇するパラメーター量が異なる,0.97,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.97,0,索敵によって育成対象キャラクターの特定のパラメータが上昇する,0.96
16,アイテムを売買するコマンド,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,コスト系パラメータを回復するコマンド,0.91,0,異常を回復するコマンド,0.91,0,選んだ育成コマンドを実行するコマンド,0.91
17,システムメニュー,プリンセスメーカー,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,10,システムメニューがある,0.9,0,システムメニュー＋パラメータ確認画面,0.89,0,システムメニューがない,0.88
18,育成画面へ移るコマンド,プリンセスメーカー,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,10,育成画面に遷移するコマンド,0.95,10,育成画面に移動するコマンド,0.95,0,パーティ画面に遷移するコマンド,0.92
19,メイン画面には育成対象キャラクターの立ち絵が表示されている,プリンセスメーカー,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,メイン画面には育成対象キャラクターの名前が表示されている,0.99,10,メイン画面では育成対象キャラクターの立ち絵が表示される,0.98,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.98
20,メイン画面には現在の日付が表示されている,プリンセスメーカー,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,,メイン画面には現在の時間が表示されている,0.99,10,メイン画面には日付が表示されている,0.99,10,メイン画面では現在の日付が表示される,0.98
21,メイン画面には育成対象キャラクターのパラメータの1部が表示されている,プリンセスメーカー,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,育成画面には育成対象キャラクターのパラメータが表示されている,0.99,8,メイン画面には各キャラクターのパラメータが表示されている,0.98,1,メイン画面には育成対象キャラクターの名前が表示されている,0.98
22,メイン画面には吹き出しが表示されている,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,メイン画面には日付が表示されている,0.97,0,メイン画面には所持金が表示されている,0.96,0,メイン画面には装備アイテムが表示されている,0.96
23,メイン画面には装備アイテムが表示されている,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,メイン画面には所持金が表示されている,0.98,0,メイン画面には各キャラクターのパラメータが表示されている,0.98,0,メイン画面には育成キャラクター切り替えアイコンが表示されている,0.97
24,メイン画面には所持金が表示されている,プリンセスメーカー,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,メイン画面には装備アイテムが表示されている,0.98,10,メイン画面では所持金が表示される,0.97,0,メイン画面には日付が表示されている,0.97
25,システムメニューではセーブができる,プリンセスメーカー,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,13,0,システムメニューではロードができる,0.98,0,メイン画面ではセーブができる,0.98,10,システムメニューからセーブができる,0.98
26,システムメニューではロードができる,プリンセスメーカー,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,システムメニューではセーブができる,0.98,0,メイン画面ではセーブができる,0.96,0,システムメニューからセーブができる,0.95
27,全てのパラメータは可視化されている,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,パラメータはテキストで表現されている,0.92,0,条件と報酬はリスト化されている,0.92,1,関係度は数値化されている,0.92
28,パラメータは数値と棒グラフで表される,プリンセスメーカー,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,パラメータは数値とレベルで示される,0.96,8,各パラメータはグラフで表示される,0.94,5,パラメータは数値のみで表示される,0.93
29,棒グラフのおかげでパラメータの度合いがどのくらいかが視覚的にわかりやすい,プリンセスメーカー,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,スポンサーを選択するとき、現在の景気と、それぞれの企業の規模と提示金額を見ることができる。,0.89,0,育成画面ではどのようなパラメータが決められるか曖昧に示される。,0.89,0,どれだけパラメータを引き継ぐかはNPCのコメントでわかる,0.89
30,育成画面では複数の手番分の育成コマンドが選べる,プリンセスメーカー,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,育成画面では、一人の育成対象キャラクターの育成コマンドを変更できる,0.97,1,育成画面では、育成コマンドを選択できる。,0.94,0,1手番分の育成コマンドに全て成功したり、パラメータが高いと、よい評価がもらえる。,0.94
31,育成画面には育成対象キャラクターのパラメータが表示されている,プリンセスメーカー,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.99,0,メイン画面には育成対象キャラクターの名前が表示されている,0.98,0,メイン画面には育成対象キャラクターの立ち絵が表示されている,0.98
32,育成画面には育成コマンドを実行する日数が表示されている,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成画面には育成対象キャラクターのパラメータが表示されている,0.97,0,メイン画面には育成対象キャラクターの名前が表示されている,0.96,0,メイン画面には表示中の育成キャラクター名が表示されている,0.96
33,ほとんどの育成コマンドはあるパラメータを上げてほかのパラメータを下げる,プリンセスメーカー,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,10,育成コマンドはあるパラメータを上げて、ほかのパラメータを下げる,0.99,9,育成コマンドはあるパラメータを上げる。ほかのパラメータを下げることもある。,0.96,9,休息コマンドは、パラメータを下げて、コスト系パラメータを上げる。,0.94
34,ほとんどの育成コマンドではコスト系パラメータが消費される,プリンセスメーカー,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,全ての育成コマンドでは、コスト系パラメータが消費される。,0.99,9,全ての育成コマンドでは、コスト系パラメータが消費される,0.98,10,育成コマンドでは、コスト系パラメータが消費される。,0.98
35,育成コマンドには成功と失敗がある,プリンセスメーカー,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,育成コマンドは成功と失敗がある。,0.99,10,育成コマンドには成功失敗がある,0.96,0,装備入手コマンドには成功失敗がある,0.93
36,育成コマンドの成否はパラメータに左右される,プリンセスメーカー,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,育成コマンドの成否は運に左右される,0.99,6,関係度を構成するパラメータ値に応じて育成コマンドの成功率が変動する,0.95,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.94
37,育成コマンドの成否は運に左右される,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,育成コマンドの成否はパラメータに左右される,0.99,0,関係度を構成するパラメータ値に応じて育成コマンドの成功率が変動する,0.94,0,育成コマンドの成否は練習実行画面で表示される,0.94
38,育成コマンドに失敗するとパラメータの上昇が少ないかなくなる,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,育成コマンドに失敗するとパラメータの上昇がなくなる。,0.97,0,育成コマンドを選ばずに日付を進めると、コスト系パラメータが少量回復する。,0.94,0,育成コマンドを選ばずに進めると、コスト系パラメータが少量回復する。,0.93
39,育成コマンドの成否によって育成対象キャラクターのワイプの顔が変化する,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.97,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.97,0,選択肢の結果によって育成対象キャラクターのモチベーションが変化する,0.96
40,1手番分の育成コマンドに全て成功したりパラメータが高いとよい評価がもらえる,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンドを実行すると、所持金と経験値を得られ、街の人との関係度が上昇する,0.94,0,育成コマンドのレベルが上昇すると、獲得できるポイントが増える,0.94,0,育成画面では、複数の手番分の育成コマンドが選べる,0.94
41,育成コマンドに失敗すると育成対象キャラクターがボイス付きで失敗の様子を語る,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,オーディションに成功すると、育成対象キャラクターが番組で歌う姿が表示される。,0.95,0,牧場や厩舎で育成対象キャラクターを選択すると、パラメータ以外の情報や実績が表示される。,0.94,0,育成コマンド成功時は、キャラクターの立ち絵が表示される。,0.94
42,育成コマンドには所持金を消費するものがある,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンドには所持金を増加させるものがある,0.98,0,時期イベントの選択肢には所持金を消費するものがある,0.97,0,所持金を増やすコマンドにはランダムイベントがある,0.96
43,育成コマンドには所持金を増加させるものがある,プリンセスメーカー,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成コマンドには所持金を消費するものがある,0.98,0,装備にはパラメータ変動させるものがある,0.96,0,所持金を増やすコマンドにはランダムイベントがある,0.96
44,育成コマンドの中に休息コマンドがあり所持金とパラメータを消費してコスト系パラメータを下げる,プリンセスメーカー,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,育成コマンドの中に休息コマンドがあり、所持金を消費してコスト系パラメータを回復する,0.99,10,休息コマンドは、パラメータと所持金を消費してコスト系パラメータを回復する,0.96,0,育成コマンドでは、コスト系パラメータが消費される。,0.95
45,コスト系パラメータを消費しすぎると状態異常になる,プリンセスメーカー,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,10,コスト系パラメータが別のパラメータを上回ると状態異常になる,0.96,9,コスト系パラメータが高まると育成やレースの際に状態異常になりやすい。,0.95,5,特定のパラメータが0になると状態異常になる。,0.94
46,特定のパラメータが0になると状態異常になる,プリンセスメーカー,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,一定パラメータ値を下回ると育成対象キャラクターが状態異常になる,0.95,8,育成対象キャラクターのパラメータが特定の値を超えると、状態異常が起こりやすくなる。,0.94,5,コスト系パラメータを消費しすぎると状態異常になる。,0.94
47,年齢が上がると育成コマンドが増える,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,パラメータによって育成コマンドの内容が増減する。,0.94,0,育成コマンドの結果によってパラメータの増加量が変わる。,0.93,0,同じ育成コマンドを設定すると関係度が上がる,0.93
48,時期イベントがある,プリンセスメーカー,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,8,10,季節イベントがある,0.96,8,関係度が増減する季節イベントがある,0.91,8,時期イベントではミニゲームが開始するものがある,0.9
49,時期イベントでは育成対象キャラクターのパラメータによって結果が変わる,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,育成コマンドによって、育成対象キャラクターのパラメータやモチベーションが変動する。,0.97,0,イベントでは育成対象キャラクターのパラメータが変動する,0.97,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.96
50,時期イベントの結果が良いと普段上がりにくいパラメータが上がる,プリンセスメーカー,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,時期イベントの結果によって、普段は上がりにくいパラメータが上がる。,0.97,0,関係値が高いとマップで珍しいアイテムの入手確率が上がる,0.93,0,育成対象キャラクター同士の相性によって、関係度の初期値と上がりやすさが異なる,0.93
51,育成コマンドの1つにRPG風のシステムでマップを歩き回って敵と戦うものがある,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンドの中に休息コマンドがあり、所持金とパラメータを消費してコスト系パラメータを下げる。,0.92,0,育成画面では、複数の手番分の育成コマンドが選べる,0.92,0,育成コマンドには所持金を増加させるものがある,0.92
52,育成期間終了時のパラメータによって育成対象キャラクターのエンディングが変化する,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,育成期間終了時のパラメータによって育成対象キャラクターごとにエンディングが変化する。,0.99,3,育成期間終了時のパラメータと攻略対象キャラクターからの関係度によってエンディングが変化する,0.98,0,選択肢の結果によって育成対象キャラクターのモチベーションが変化する,0.96
53,育成コマンド内にさらに複数種類の練習内容のコマンドがある,プリンセスメーカー,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,9,,,,,,,,,
57,ゲームの最初にプレイヤーキャラクターの名前を決める,卒業 Graduation,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,16,10,ゲームの最初にプレイヤーキャラクターの名前を決める。,0.99,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.99,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98
58,ゲームの最初にプレイヤーキャラクターの誕生日を決める,卒業 Graduation,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,ゲームの最初に育成対象キャラクターの誕生日を決める,0.99,10,ゲームの最初にプレイヤーキャラクターの誕生日を選択する。,0.97,0,ゲームの最初にプレイヤーキャラクターの名前を決める,0.97
59,ゲームの最初にプレイヤーキャラクターの血液型を決める,卒業 Graduation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ゲームの最初に育成対象キャラクターの血液型を決める,0.99,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.98,0,ゲームの最初にプレイヤーキャラクターの名前を決める,0.97
60,ゲームの最初にプレイヤーキャラクターのパラメータの割り振りを決める,卒業 Graduation,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,ゲームの最初にプレイヤーキャラクターの能力割り振りを決める。,0.98,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.97,5,ゲームの最初に育成対象キャラクターの成長の傾向を決める,0.97
61,血液型はプレイヤーキャラクターと育成対象キャラクターとの相性に影響を与える,卒業 Graduation,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,10,血液型は攻略対象キャラクターとの関係度に影響を与える。,0.98,9,血液型は育成対象キャラクターのパラメータに影響を与える,0.97,0,誕生日は育成対象キャラクターのパラメータに影響を与える,0.96
62,育成期間が決まっている,卒業 Graduation,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,13,10,育成期間がある,0.93,2,各育成対象キャラクターごとに育成期間が設定されている,0.91,10,育成期限が存在する,0.91
63,パラメータとの結びつきが不明な目標がそれとなく提示される,卒業 Graduation,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,11,10,パラメータとの結びつきが不明な目標がはっきりと提示される,0.98,0,関係度は複数のパラメータによって構成される,0.9,0,探索での成功失敗には特定パラメータが使用される,0.9
64,可視化されているパラメータとは別にゲーム中に確認できない隠しパラメータが存在する,卒業 Graduation,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,わざにはタイプ以外にも特殊なパラメータが設定されており、このパラメータはミニゲームで使用される,0.94,0,各パラメータの数値はゲーム内で確認できない,0.92,0,育成対象キャラクターのパラメータが特定の値を超えると、育成に悪影響のあるイベントが起こりやすくなる。,0.91
65,パラメータはパラメータ確認画面から確認できる,卒業 Graduation,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,10,パラメータはパラメータ確認画面から確認できる,0.99,10,パラメータはパラメータ確認画面から確認可能,0.97,10,各パラメータはパラメータ確認画面から確認可能,0.96
66,パラメータは数字のみで表示される,卒業 Graduation,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,パラメータは数値のみで表示される,0.99,0,パラメータは数値とレベルで示される,0.94,0,各パラメータごとの経験値はバーで表示される,0.94
67,育成対象キャラクターが複数いる,卒業 Graduation,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
68,育成対象キャラクターにはボイスがついている,卒業 Graduation,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,育成対象キャラクターにはパラメータがある,0.94,0,育成キャラクターにはスキルが設定されている,0.93,0,育成対象キャラクターには属性が設定されている,0.93
69,季節ごとに背景とBGMが変わる。生徒の見た目は変わらない,卒業 Graduation,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,9,0,立ち絵とSDキャラクターは状態によってポーズや表情が変更される。,0.91,0,一年のうちの季節によって、NPCの立ち絵が変化する。,0.91,0,装備に応じて装備対象キャラの見た目が変化する,0.91
70,画面には日付が表示されている,卒業 Graduation,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,10,メイン画面には日付が表示されている,0.99,10,画面の左上には日付が表示されている,0.98,10,メイン画面には現在の日付が表示されている,0.98
71,1サイクルは休日1手番と平日2手番ある,卒業 Graduation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,１サイクルは平日１手番と休日２手番,0.95,9,1サイクルは、平日(6日)が1手番、休日(1日)が1手番ある。,0.95,0,祝日の日は、休日の手番が１つ増える。,0.89
72,祝日の日は休日の手番が1つ増える,卒業 Graduation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,祝日の日は、休日の手番が1つ増える,0.99,0,1サイクルは、平日(6日)が1手番、休日(1日)が1手番ある。,0.9,0,夏休みと冬休みの期間には、一日ごとに休日のコマンドと関係度が増減するイベントが選べる,0.89
73,休日にはメイン画面が表示される,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,平日にはメイン画面が出る。,0.95,0,メイン画面では現在の日付が表示される,0.94,0,メイン画面では所持金が表示される,0.93
74,メイン画面では以下5つのコマンドが選べる,卒業 Graduation,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,メイン画面では、以下7つのコマンドが選べる。,0.99,10,メイン画面では以下の5つのコマンドが選択できる。,0.98,9,育成画面では、以下の六つのコマンドが選べる。,0.97
75,育成対象キャラクターの育成コマンド,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,プレイヤーキャラクターの育成コマンド,0.97,0,育成対象キャラクターのパラメータを確認するコマンド,0.95,0,育成対象キャラクターのパラメータ確認を行うコマンド＋システムメニュー,0.94
76,以下3つのどれかを選ぶコマンド,卒業 Graduation,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,9,スケジュール選択では以下の４つのコマンドが選べる。,0.89,9,厩舎では以下の4つのコマンドが選択できる。,0.89,9,メイン画面では以下の5つのコマンドが選択できる。,0.88
77,育成対象キャラクターのパラメータに対するフィードバックが得られる,卒業 Graduation,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,10,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド,0.98,0,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド（成功時パラメータ上昇あり）,0.96,5,育成対象キャラクターの状態についてフィードバックを得るコマンド,0.95
